policy,metric,mean,stdev,n
foreground,p99_latency_ns,5.81994e+11,1.32771e+10,5
foreground,waf,1.91166,0.0022838,5
foreground,gc_induced_stall_ns,1.64878e+12,4.08142e+09,5
foreground,p95_latency_ns,5.06261e+11,1.58317e+10,5
foreground,avg_latency_ns,1.15319e+11,4.04183e+09,5
foreground,throughput_reqs_per_sec,1603.63,12.6498,5
foreground,gc_count,16271.4,24.0687,5
foreground,pages_moved_by_gc,2.46148e+06,6168.02,5
fixed_background,p99_latency_ns,1.4636e+13,5.75292e+11,5
fixed_background,waf,33.3211,0.31359,5
fixed_background,gc_induced_stall_ns,0,0,5
fixed_background,p95_latency_ns,1.02401e+13,5.76278e+11,5
fixed_background,avg_latency_ns,1.4214e+12,7.66483e+10,5
fixed_background,throughput_reqs_per_sec,160.662,5.35424,5
fixed_background,gc_count,348094,3306.76,5
fixed_background,pages_moved_by_gc,8.72671e+07,846694,5
queue_aware,p99_latency_ns,5.56452e+11,4.45483e+09,5
queue_aware,waf,1.99091,0.00320883,5
queue_aware,gc_induced_stall_ns,1.43523e+12,5.26152e+09,5
queue_aware,p95_latency_ns,4.75394e+11,6.09675e+09,5
queue_aware,avg_latency_ns,1.01422e+11,1.80626e+09,5
queue_aware,throughput_reqs_per_sec,1629.57,6.08224,5
queue_aware,gc_count,17107.2,33.8334,5
queue_aware,pages_moved_by_gc,2.67545e+06,8666.46,5
