label,request_count,completed_request_count,simulated_time_ns,throughput_reqs_per_sec,avg_latency_ns,p50_latency_ns,p95_latency_ns,p99_latency_ns,avg_queue_wait_ns,avg_device_service_ns,host_write_pages,nand_write_pages,waf,gc_count,foreground_gc_count,background_gc_count,pages_moved_by_gc,gc_induced_stall_ns,free_page_ratio_end,invalid_page_ratio_end,erase_count_mean,erase_count_stddev,erase_count_max
foreground_seed0,2700000,2700000,1688020546862,1599.51,1.17884e+11,8.77211e+09,5.09191e+11,5.83609e+11,1.17883e+11,600000,2700000,5158531,1.91057,16260,16260,0,2458531,1646825150000,0.050168,0.134141,3.96973,0.40027,5
fixed_background_seed0,2700000,2700000,17691540983224,152.615,1.53845e+12,1.21478e+11,1.11143e+13,1.551e+13,1.53845e+12,600000,2700000,90123051,33.3789,348702,0,348702,87423051,0,0.184285,2.38419e-05,85.1323,8.89885,122
queue_aware_seed0,2700000,2700000,1655146087924,1631.28,1.0207e+11,7.12209e+07,4.77059e+11,5.53993e+11,1.0207e+11,600000,2700000,5371091,1.98929,17090,13027,4063,2671091,1434276100000,0.0500917,0.134217,4.17236,0.431972,6
foreground_seed1,2700000,2700000,1663821522962,1622.77,1.10815e+11,1.04735e+10,4.85907e+11,5.64151e+11,1.10815e+11,600000,2700000,5159830,1.91105,16265,16265,0,2459830,1647684500000,0.0501499,0.134527,3.97095,0.396377,5
fixed_background_seed1,2700000,2700000,16365941810424,164.977,1.36661e+12,1.2113e+11,9.78407e+12,1.41827e+13,1.36661e+12,600000,2700000,89613481,33.1902,346713,0,346713,86913481,0,0.184653,2.38419e-05,84.6467,7.0841,107
queue_aware_seed1,2700000,2700000,1647334271924,1639.01,1.01822e+11,7.23133e+07,4.75206e+11,5.50896e+11,1.01822e+11,600000,2700000,5365134,1.98709,17067,13095,3972,2665134,1440315800000,0.0501575,0.13452,4.16675,0.435574,5
foreground_seed2,2700000,2700000,1689235535224,1598.36,1.13901e+11,2.51555e+09,5.143e+11,5.85374e+11,1.13901e+11,600000,2700000,5169040,1.91446,16301,16301,0,2469040,1653779000000,0.0501556,0.134175,3.97974,0.380596,5
fixed_background_seed2,2700000,2700000,17121040588262,157.701,1.46085e+12,1.20085e+11,1.05455e+13,1.49385e+13,1.46085e+12,600000,2700000,91078681,33.7328,352435,0,352435,88378681,0,0.184302,2.86102e-05,86.0437,7.63881,113
queue_aware_seed2,2700000,2700000,1661914764024,1624.63,1.00486e+11,7.24949e+07,4.70541e+11,5.58675e+11,1.00486e+11,600000,2700000,5384370,1.99421,17142,13044,4098,2684370,1438159500000,0.0501232,0.134208,4.18506,0.451161,5
foreground_seed3,2700000,2700000,1698931479762,1589.23,1.20924e+11,1.09701e+10,5.263e+11,6.00464e+11,1.20923e+11,600000,2700000,5166300,1.91344,16290,16290,0,2466300,1651965000000,0.0500832,0.134398,3.97705,0.385859,5
fixed_background_seed3,2700000,2700000,16488498342062,163.751,1.37649e+12,1.16038e+11,9.90113e+12,1.43008e+13,1.37649e+12,600000,2700000,90239856,33.4222,349159,0,349159,87539856,0,0.184464,1.71661e-05,85.2439,7.35842,113
queue_aware_seed3,2700000,2700000,1657515702600,1628.94,9.89598e+10,7.18788e+07,4.69447e+11,5.56125e+11,9.89592e+10,600000,2700000,5384611,1.9943,17143,13030,4113,2684611,1436711550000,0.0501375,0.134343,4.1853,0.441487,5
foreground_seed4,2700000,2700000,1678813073024,1608.28,1.13071e+11,1.08577e+10,4.95607e+11,5.76374e+11,1.13071e+11,600000,2700000,5153710,1.90878,16241,16241,0,2453710,1643634500000,0.050127,0.134582,3.96509,0.400807,5
fixed_background_seed4,2700000,2700000,16436707403786,164.266,1.36462e+12,1.07298e+11,9.85536e+12,1.42479e+13,1.36462e+12,600000,2700000,88780428,32.8816,343459,0,343459,86080428,0,0.184681,2.76566e-05,83.8523,7.14146,111
queue_aware_seed4,2700000,2700000,1662573501124,1623.99,1.03774e+11,7.13833e+07,4.84719e+11,5.62569e+11,1.03773e+11,600000,2700000,5372056,1.98965,17094,12958,4136,2672056,1426675350000,0.050148,0.134561,4.17334,0.440539,5
